step,step2,num,connect_x,connect_y,area_x,area_y,speed,time1,time2
56,2,1000,14,14,1000,1000,0.0,0,0
28,1,1000,14,14,1000,1000,0.0,0,0
28,1,1000,14,14,1000,1000,0.0,0,0
28,1,1000,14,14,1000,1000,0.0,0,0
28,1,1000,14,14,1000,1000,0.0,0,0
28,1,1000,14,14,1000,1000,0.0,0,0
28,1,1000,14,14,1000,1000,0.0,0,0
56,2,1000,14,14,1000,1000,0.0,0,0
28,1,1000,14,14,1000,1000,0.0,0,0
28,1,1000,14,14,1000,1000,0.0,0,0
28,1,1000,14,14,1000,1000,0.0,0,0
28,1,1000,14,14,1000,1000,0.0,0,0
28,1,1000,14,14,1000,1000,0.0,0,0
56,2,1000,14,14,1000,1000,0.0,0,0
56,2,1000,14,14,1000,1000,0.0,0,0
56,2,1000,14,14,1000,1000,0.0,0,0
56,2,1000,14,14,1000,1000,0.0,0,0
28,1,1000,14,14,1000,1000,0.0,0,0
56,2,1000,14,14,1000,1000,0.0,0,0
28,1,1000,14,14,1000,1000,0.0,0,0
56,2,1000,14,14,1000,1000,0.0,0,0
28,1,1000,14,14,1000,1000,0.0,0,0
56,2,1000,14,14,1000,1000,0.0,0,0
56,2,1000,14,14,1000,1000,0.0,0,0
28,1,1000,14,14,1000,1000,0.0,0,0
56,2,1000,14,14,1000,1000,0.0,0,0
28,1,1000,14,14,1000,1000,0.0,0,0
28,1,1000,14,14,1000,1000,0.0,0,0
28,1,1000,14,14,1000,1000,0.0,0,0
56,2,1000,14,14,1000,1000,0.0,0,0
56,2,1000,14,14,1000,1000,0.0,0,0
56,2,1000,14,14,1000,1000,0.0,0,0
28,1,1000,14,14,1000,1000,0.0,0,0
56,2,1000,14,14,1000,1000,0.0,0,0
56,2,1000,14,14,1000,1000,0.0,0,0
56,2,1000,14,14,1000,1000,0.0,0,0
56,2,1000,14,14,1000,1000,0.0,0,0
56,2,1000,14,14,1000,1000,0.0,0,0
56,2,1000,14,14,1000,1000,0.0,0,0
56,2,1000,14,14,1000,1000,0.0,0,0
56,2,1000,14,14,1000,1000,0.0,0,0
56,2,1000,14,14,1000,1000,0.0,0,0
56,2,1000,14,14,1000,1000,0.0,0,0
56,2,1000,14,14,1000,1000,0.0,0,0
56,2,1000,14,14,1000,1000,0.0,0,0
56,2,1000,14,14,1000,1000,0.0,0,0
56,2,1000,14,14,1000,1000,0.0,0,0
84,3,1000,14,14,1000,1000,0.0,0,0
84,3,1000,14,14,1000,1000,0.0,0,0
56,2,1000,14,14,1000,1000,0.0,0,0
56,2,1000,14,14,1000,1000,0.0,0,0
56,2,1000,14,14,1000,1000,0.0,0,0
56,2,1000,14,14,1000,1000,0.0,0,0
84,3,1000,14,14,1000,1000,0.0,0,0
84,3,1000,14,14,1000,1000,0.0,0,0
56,2,1000,14,14,1000,1000,0.0,0,0
56,2,1000,14,14,1000,1000,0.0,0,0
56,2,1000,14,14,1000,1000,0.0,0,0
56,2,1000,14,14,1000,1000,0.0,0,0
56,2,1000,14,14,1000,1000,0.0,0,0
56,2,1000,14,14,1000,1000,0.0,0,0
84,3,1000,14,14,1000,1000,0.0,0,0
56,2,1000,14,14,1000,1000,0.0,0,0
84,3,1000,14,14,1000,1000,0.0,0,0
56,2,1000,14,14,1000,1000,0.0,0,0
56,2,1000,14,14,1000,1000,0.0,0,0
56,2,1000,14,14,1000,1000,0.0,0,0
84,3,1000,14,14,1000,1000,0.0,0,0
56,2,1000,14,14,1000,1000,0.0,0,0
56,2,1000,14,14,1000,1000,0.0,0,0
56,2,1000,14,14,1000,1000,0.0,0,0
56,2,1000,14,14,1000,1000,0.0,0,0
84,3,1000,14,14,1000,1000,0.0,0,0
84,3,1000,14,14,1000,1000,0.0,0,0
56,2,1000,14,14,1000,1000,0.0,0,0
84,3,1000,14,14,1000,1000,0.0,0,0
56,2,1000,14,14,1000,1000,0.0,0,0
56,2,1000,14,14,1000,1000,0.0,0,0
84,3,1000,14,14,1000,1000,0.0,0,0
56,2,1000,14,14,1000,1000,0.0,0,0
112,4,1000,14,14,1000,1000,0.0,0,0
82,3,1000,14,14,1000,1000,0.0,0,0
80,3,1000,14,14,1000,1000,0.0,0,0
84,3,1000,14,14,1000,1000,0.0,0,0
84,3,1000,14,14,1000,1000,0.0,0,0
56,2,1000,14,14,1000,1000,0.0,0,0
112,4,1000,14,14,1000,1000,0.0,0,0
84,3,1000,14,14,1000,1000,0.0,0,0
112,4,1000,14,14,1000,1000,0.0,0,0
84,3,1000,14,14,1000,1000,0.0,0,0
84,3,1000,14,14,1000,1000,0.0,0,0
84,3,1000,14,14,1000,1000,0.0,0,0
112,4,1000,14,14,1000,1000,0.0,0,0
112,4,1000,14,14,1000,1000,0.0,0,0
132,5,1000,14,14,1000,1000,0.0,0,0
112,4,1000,14,14,1000,1000,0.0,0,0
84,3,1000,14,14,1000,1000,0.0,0,0
108,4,1000,14,14,1000,1000,0.0,0,0
168,6,1000,14,14,1000,1000,0.0,0,0
140,5,1000,14,14,1000,1000,0.0,0,0
