step,step2,num,connect_x,connect_y,area_x,area_y,speed,time1,time2
30,1,1000,15,15,1000,1000,0.0,0,0
30,1,1000,15,15,1000,1000,0.0,0,0
30,1,1000,15,15,1000,1000,0.0,0,0
30,1,1000,15,15,1000,1000,0.0,0,0
30,1,1000,15,15,1000,1000,0.0,0,0
30,1,1000,15,15,1000,1000,0.0,0,0
60,2,1000,15,15,1000,1000,0.0,0,0
60,2,1000,15,15,1000,1000,0.0,0,0
60,2,1000,15,15,1000,1000,0.0,0,0
30,1,1000,15,15,1000,1000,0.0,0,0
30,1,1000,15,15,1000,1000,0.0,0,0
60,2,1000,15,15,1000,1000,0.0,0,0
60,2,1000,15,15,1000,1000,0.0,0,0
30,1,1000,15,15,1000,1000,0.0,0,0
30,1,1000,15,15,1000,1000,0.0,0,0
30,1,1000,15,15,1000,1000,0.0,0,0
30,1,1000,15,15,1000,1000,0.0,0,0
60,2,1000,15,15,1000,1000,0.0,0,0
60,2,1000,15,15,1000,1000,0.0,0,0
30,1,1000,15,15,1000,1000,0.0,0,0
30,1,1000,15,15,1000,1000,0.0,0,0
60,2,1000,15,15,1000,1000,0.0,0,0
60,2,1000,15,15,1000,1000,0.0,0,0
60,2,1000,15,15,1000,1000,0.0,0,0
30,1,1000,15,15,1000,1000,0.0,0,0
60,2,1000,15,15,1000,1000,0.0,0,0
60,2,1000,15,15,1000,1000,0.0,0,0
30,1,1000,15,15,1000,1000,0.0,0,0
60,2,1000,15,15,1000,1000,0.0,0,0
30,1,1000,15,15,1000,1000,0.0,0,0
30,1,1000,15,15,1000,1000,0.0,0,0
60,2,1000,15,15,1000,1000,0.0,0,0
30,1,1000,15,15,1000,1000,0.0,0,0
60,2,1000,15,15,1000,1000,0.0,0,0
30,1,1000,15,15,1000,1000,0.0,0,0
30,1,1000,15,15,1000,1000,0.0,0,0
60,2,1000,15,15,1000,1000,0.0,0,0
30,1,1000,15,15,1000,1000,0.0,0,0
60,2,1000,15,15,1000,1000,0.0,0,0
60,2,1000,15,15,1000,1000,0.0,0,0
60,2,1000,15,15,1000,1000,0.0,0,0
120,4,1000,15,15,1000,1000,0.0,0,0
60,2,1000,15,15,1000,1000,0.0,0,0
30,1,1000,15,15,1000,1000,0.0,0,0
60,2,1000,15,15,1000,1000,0.0,0,0
60,2,1000,15,15,1000,1000,0.0,0,0
60,2,1000,15,15,1000,1000,0.0,0,0
60,2,1000,15,15,1000,1000,0.0,0,0
90,3,1000,15,15,1000,1000,0.0,0,0
60,2,1000,15,15,1000,1000,0.0,0,0
90,3,1000,15,15,1000,1000,0.0,0,0
90,3,1000,15,15,1000,1000,0.0,0,0
90,3,1000,15,15,1000,1000,0.0,0,0
60,2,1000,15,15,1000,1000,0.0,0,0
60,2,1000,15,15,1000,1000,0.0,0,0
90,3,1000,15,15,1000,1000,0.0,0,0
84,3,1000,15,15,1000,1000,0.0,0,0
60,2,1000,15,15,1000,1000,0.0,0,0
60,2,1000,15,15,1000,1000,0.0,0,0
60,2,1000,15,15,1000,1000,0.0,0,0
60,2,1000,15,15,1000,1000,0.0,0,0
60,2,1000,15,15,1000,1000,0.0,0,0
60,2,1000,15,15,1000,1000,0.0,0,0
90,3,1000,15,15,1000,1000,0.0,0,0
60,2,1000,15,15,1000,1000,0.0,0,0
120,4,1000,15,15,1000,1000,0.0,0,0
60,2,1000,15,15,1000,1000,0.0,0,0
60,2,1000,15,15,1000,1000,0.0,0,0
60,2,1000,15,15,1000,1000,0.0,0,0
90,3,1000,15,15,1000,1000,0.0,0,0
60,2,1000,15,15,1000,1000,0.0,0,0
60,2,1000,15,15,1000,1000,0.0,0,0
90,3,1000,15,15,1000,1000,0.0,0,0
90,3,1000,15,15,1000,1000,0.0,0,0
60,2,1000,15,15,1000,1000,0.0,0,0
90,3,1000,15,15,1000,1000,0.0,0,0
90,3,1000,15,15,1000,1000,0.0,0,0
90,3,1000,15,15,1000,1000,0.0,0,0
90,3,1000,15,15,1000,1000,0.0,0,0
90,3,1000,15,15,1000,1000,0.0,0,0
90,3,1000,15,15,1000,1000,0.0,0,0
90,3,1000,15,15,1000,1000,0.0,0,0
90,3,1000,15,15,1000,1000,0.0,0,0
90,3,1000,15,15,1000,1000,0.0,0,0
90,3,1000,15,15,1000,1000,0.0,0,0
90,3,1000,15,15,1000,1000,0.0,0,0
90,3,1000,15,15,1000,1000,0.0,0,0
120,4,1000,15,15,1000,1000,0.0,0,0
120,4,1000,15,15,1000,1000,0.0,0,0
120,4,1000,15,15,1000,1000,0.0,0,0
120,4,1000,15,15,1000,1000,0.0,0,0
120,4,1000,15,15,1000,1000,0.0,0,0
120,4,1000,15,15,1000,1000,0.0,0,0
150,5,1000,15,15,1000,1000,0.0,0,0
120,4,1000,15,15,1000,1000,0.0,0,0
120,4,1000,15,15,1000,1000,0.0,0,0
150,5,1000,15,15,1000,1000,0.0,0,0
148,5,1000,15,15,1000,1000,0.0,0,0
172,6,1000,15,15,1000,1000,0.0,0,0
180,6,1000,15,15,1000,1000,0.0,0,0
