step,step2,num,connect_x,connect_y,area_x,area_y,speed,time1,time2
14,1,1000,7,7,1000,1000,0.0,0,0
28,2,1000,7,7,1000,1000,0.0,0,0
28,2,1000,7,7,1000,1000,0.0,0,0
14,1,1000,7,7,1000,1000,0.0,0,0
14,1,1000,7,7,1000,1000,0.0,0,0
14,1,1000,7,7,1000,1000,0.0,0,0
22,2,1000,7,7,1000,1000,0.0,0,0
14,1,1000,7,7,1000,1000,0.0,0,0
28,2,1000,7,7,1000,1000,0.0,0,0
42,3,1000,7,7,1000,1000,0.0,0,0
14,1,1000,7,7,1000,1000,0.0,0,0
40,3,1000,7,7,1000,1000,0.0,0,0
14,1,1000,7,7,1000,1000,0.0,0,0
42,3,1000,7,7,1000,1000,0.0,0,0
42,3,1000,7,7,1000,1000,0.0,0,0
28,2,1000,7,7,1000,1000,0.0,0,0
70,5,1000,7,7,1000,1000,0.0,0,0
38,3,1000,7,7,1000,1000,0.0,0,0
14,1,1000,7,7,1000,1000,0.0,0,0
58,5,1000,7,7,1000,1000,0.0,0,0
56,4,1000,7,7,1000,1000,0.0,0,0
28,2,1000,7,7,1000,1000,0.0,0,0
28,2,1000,7,7,1000,1000,0.0,0,0
28,2,1000,7,7,1000,1000,0.0,0,0
42,3,1000,7,7,1000,1000,0.0,0,0
42,3,1000,7,7,1000,1000,0.0,0,0
56,4,1000,7,7,1000,1000,0.0,0,0
54,4,1000,7,7,1000,1000,0.0,0,0
42,3,1000,7,7,1000,1000,0.0,0,0
54,4,1000,7,7,1000,1000,0.0,0,0
40,3,1000,7,7,1000,1000,0.0,0,0
38,3,1000,7,7,1000,1000,0.0,0,0
50,4,1000,7,7,1000,1000,0.0,0,0
56,4,1000,7,7,1000,1000,0.0,0,0
70,5,1000,7,7,1000,1000,0.0,0,0
42,3,1000,7,7,1000,1000,0.0,0,0
56,4,1000,7,7,1000,1000,0.0,0,0
56,4,1000,7,7,1000,1000,0.0,0,0
56,4,1000,7,7,1000,1000,0.0,0,0
62,6,1000,7,7,1000,1000,0.0,0,0
56,4,1000,7,7,1000,1000,0.0,0,0
42,3,1000,7,7,1000,1000,0.0,0,0
50,4,1000,7,7,1000,1000,0.0,0,0
56,4,1000,7,7,1000,1000,0.0,0,0
70,5,1000,7,7,1000,1000,0.0,0,0
70,5,1000,7,7,1000,1000,0.0,0,0
60,5,1000,7,7,1000,1000,0.0,0,0
78,6,1000,7,7,1000,1000,0.0,0,0
54,4,1000,7,7,1000,1000,0.0,0,0
38,4,1000,7,7,1000,1000,0.0,0,0
32,3,1000,7,7,1000,1000,0.0,0,0
82,6,1000,7,7,1000,1000,0.0,0,0
104,8,1000,7,7,1000,1000,0.0,0,0
56,4,1000,7,7,1000,1000,0.0,0,0
72,6,1000,7,7,1000,1000,0.0,0,0
78,6,1000,7,7,1000,1000,0.0,0,0
86,7,1000,7,7,1000,1000,0.0,0,0
70,5,1000,7,7,1000,1000,0.0,0,0
56,4,1000,7,7,1000,1000,0.0,0,0
84,6,1000,7,7,1000,1000,0.0,0,0
94,7,1000,7,7,1000,1000,0.0,0,0
56,4,1000,7,7,1000,1000,0.0,0,0
74,6,1000,7,7,1000,1000,0.0,0,0
50,4,1000,7,7,1000,1000,0.0,0,0
84,7,1000,7,7,1000,1000,0.0,0,0
66,5,1000,7,7,1000,1000,0.0,0,0
54,4,1000,7,7,1000,1000,0.0,0,0
92,7,1000,7,7,1000,1000,0.0,0,0
80,6,1000,7,7,1000,1000,0.0,0,0
84,6,1000,7,7,1000,1000,0.0,0,0
118,9,1000,7,7,1000,1000,0.0,0,0
74,6,1000,7,7,1000,1000,0.0,0,0
98,7,1000,7,7,1000,1000,0.0,0,0
68,5,1000,7,7,1000,1000,0.0,0,0
98,8,1000,7,7,1000,1000,0.0,0,0
96,7,1000,7,7,1000,1000,0.0,0,0
80,6,1000,7,7,1000,1000,0.0,0,0
100,8,1000,7,7,1000,1000,0.0,0,0
90,7,1000,7,7,1000,1000,0.0,0,0
84,6,1000,7,7,1000,1000,0.0,0,0
98,8,1000,7,7,1000,1000,0.0,0,0
78,8,1000,7,7,1000,1000,0.0,0,0
102,8,1000,7,7,1000,1000,0.0,0,0
86,7,1000,7,7,1000,1000,0.0,0,0
126,11,1000,7,7,1000,1000,0.0,0,0
92,7,1000,7,7,1000,1000,0.0,0,0
120,9,1000,7,7,1000,1000,0.0,0,0
96,9,1000,7,7,1000,1000,0.0,0,0
100,8,1000,7,7,1000,1000,0.0,0,0
118,9,1000,7,7,1000,1000,0.0,0,0
138,11,1000,7,7,1000,1000,0.0,0,0
116,10,1000,7,7,1000,1000,0.0,0,0
138,10,1000,7,7,1000,1000,0.0,0,0
138,11,1000,7,7,1000,1000,0.0,0,0
110,8,1000,7,7,1000,1000,0.0,0,0
152,12,1000,7,7,1000,1000,0.0,0,0
182,13,1000,7,7,1000,1000,0.0,0,0
172,13,1000,7,7,1000,1000,0.0,0,0
182,15,1000,7,7,1000,1000,0.0,0,0
238,17,1000,7,7,1000,1000,0.0,0,0
