step,step2,num,connect_x,connect_y,area_x,area_y,speed,time1,time2
54,4,1000,8,8,1000,1000,0.0,0,0
16,1,1000,8,8,1000,1000,0.0,0,0
32,2,1000,8,8,1000,1000,0.0,0,0
48,3,1000,8,8,1000,1000,0.0,0,0
16,1,1000,8,8,1000,1000,0.0,0,0
48,3,1000,8,8,1000,1000,0.0,0,0
48,3,1000,8,8,1000,1000,0.0,0,0
32,2,1000,8,8,1000,1000,0.0,0,0
32,2,1000,8,8,1000,1000,0.0,0,0
32,2,1000,8,8,1000,1000,0.0,0,0
64,4,1000,8,8,1000,1000,0.0,0,0
48,3,1000,8,8,1000,1000,0.0,0,0
46,3,1000,8,8,1000,1000,0.0,0,0
48,3,1000,8,8,1000,1000,0.0,0,0
64,4,1000,8,8,1000,1000,0.0,0,0
48,3,1000,8,8,1000,1000,0.0,0,0
40,3,1000,8,8,1000,1000,0.0,0,0
48,3,1000,8,8,1000,1000,0.0,0,0
32,2,1000,8,8,1000,1000,0.0,0,0
32,2,1000,8,8,1000,1000,0.0,0,0
48,3,1000,8,8,1000,1000,0.0,0,0
32,2,1000,8,8,1000,1000,0.0,0,0
60,4,1000,8,8,1000,1000,0.0,0,0
48,3,1000,8,8,1000,1000,0.0,0,0
48,3,1000,8,8,1000,1000,0.0,0,0
64,4,1000,8,8,1000,1000,0.0,0,0
48,3,1000,8,8,1000,1000,0.0,0,0
48,3,1000,8,8,1000,1000,0.0,0,0
32,2,1000,8,8,1000,1000,0.0,0,0
32,2,1000,8,8,1000,1000,0.0,0,0
32,2,1000,8,8,1000,1000,0.0,0,0
60,4,1000,8,8,1000,1000,0.0,0,0
64,4,1000,8,8,1000,1000,0.0,0,0
32,2,1000,8,8,1000,1000,0.0,0,0
16,1,1000,8,8,1000,1000,0.0,0,0
64,4,1000,8,8,1000,1000,0.0,0,0
48,3,1000,8,8,1000,1000,0.0,0,0
62,4,1000,8,8,1000,1000,0.0,0,0
106,7,1000,8,8,1000,1000,0.0,0,0
32,2,1000,8,8,1000,1000,0.0,0,0
48,3,1000,8,8,1000,1000,0.0,0,0
32,2,1000,8,8,1000,1000,0.0,0,0
96,6,1000,8,8,1000,1000,0.0,0,0
60,4,1000,8,8,1000,1000,0.0,0,0
64,4,1000,8,8,1000,1000,0.0,0,0
64,4,1000,8,8,1000,1000,0.0,0,0
76,5,1000,8,8,1000,1000,0.0,0,0
42,3,1000,8,8,1000,1000,0.0,0,0
64,4,1000,8,8,1000,1000,0.0,0,0
64,4,1000,8,8,1000,1000,0.0,0,0
64,4,1000,8,8,1000,1000,0.0,0,0
90,6,1000,8,8,1000,1000,0.0,0,0
64,4,1000,8,8,1000,1000,0.0,0,0
80,5,1000,8,8,1000,1000,0.0,0,0
86,6,1000,8,8,1000,1000,0.0,0,0
60,6,1000,8,8,1000,1000,0.0,0,0
48,3,1000,8,8,1000,1000,0.0,0,0
76,5,1000,8,8,1000,1000,0.0,0,0
56,4,1000,8,8,1000,1000,0.0,0,0
60,4,1000,8,8,1000,1000,0.0,0,0
80,5,1000,8,8,1000,1000,0.0,0,0
80,5,1000,8,8,1000,1000,0.0,0,0
78,6,1000,8,8,1000,1000,0.0,0,0
46,3,1000,8,8,1000,1000,0.0,0,0
80,5,1000,8,8,1000,1000,0.0,0,0
92,6,1000,8,8,1000,1000,0.0,0,0
96,6,1000,8,8,1000,1000,0.0,0,0
120,8,1000,8,8,1000,1000,0.0,0,0
64,4,1000,8,8,1000,1000,0.0,0,0
60,4,1000,8,8,1000,1000,0.0,0,0
96,6,1000,8,8,1000,1000,0.0,0,0
94,6,1000,8,8,1000,1000,0.0,0,0
126,8,1000,8,8,1000,1000,0.0,0,0
70,5,1000,8,8,1000,1000,0.0,0,0
90,6,1000,8,8,1000,1000,0.0,0,0
90,6,1000,8,8,1000,1000,0.0,0,0
106,7,1000,8,8,1000,1000,0.0,0,0
96,6,1000,8,8,1000,1000,0.0,0,0
74,5,1000,8,8,1000,1000,0.0,0,0
104,7,1000,8,8,1000,1000,0.0,0,0
110,7,1000,8,8,1000,1000,0.0,0,0
102,7,1000,8,8,1000,1000,0.0,0,0
74,5,1000,8,8,1000,1000,0.0,0,0
108,7,1000,8,8,1000,1000,0.0,0,0
112,7,1000,8,8,1000,1000,0.0,0,0
128,8,1000,8,8,1000,1000,0.0,0,0
158,10,1000,8,8,1000,1000,0.0,0,0
110,7,1000,8,8,1000,1000,0.0,0,0
100,7,1000,8,8,1000,1000,0.0,0,0
176,11,1000,8,8,1000,1000,0.0,0,0
120,8,1000,8,8,1000,1000,0.0,0,0
130,9,1000,8,8,1000,1000,0.0,0,0
156,10,1000,8,8,1000,1000,0.0,0,0
150,10,1000,8,8,1000,1000,0.0,0,0
154,10,1000,8,8,1000,1000,0.0,0,0
138,11,1000,8,8,1000,1000,0.0,0,0
230,15,1000,8,8,1000,1000,0.0,0,0
208,13,1000,8,8,1000,1000,0.0,0,0
222,14,1000,8,8,1000,1000,0.0,0,0
156,19,1000,8,8,1000,1000,0.0,0,0
