step,step2,num,connect_x,connect_y,area_x,area_y,speed,time1,time2
26,1,1000,13,13,1000,1000,0.0,0,0
26,1,1000,13,13,1000,1000,0.0,0,0
26,1,1000,13,13,1000,1000,0.0,0,0
78,3,1000,13,13,1000,1000,0.0,0,0
78,3,1000,13,13,1000,1000,0.0,0,0
52,2,1000,13,13,1000,1000,0.0,0,0
26,1,1000,13,13,1000,1000,0.0,0,0
52,2,1000,13,13,1000,1000,0.0,0,0
26,1,1000,13,13,1000,1000,0.0,0,0
26,1,1000,13,13,1000,1000,0.0,0,0
26,1,1000,13,13,1000,1000,0.0,0,0
26,1,1000,13,13,1000,1000,0.0,0,0
52,2,1000,13,13,1000,1000,0.0,0,0
52,2,1000,13,13,1000,1000,0.0,0,0
52,2,1000,13,13,1000,1000,0.0,0,0
26,1,1000,13,13,1000,1000,0.0,0,0
26,1,1000,13,13,1000,1000,0.0,0,0
52,2,1000,13,13,1000,1000,0.0,0,0
52,2,1000,13,13,1000,1000,0.0,0,0
52,2,1000,13,13,1000,1000,0.0,0,0
26,1,1000,13,13,1000,1000,0.0,0,0
26,1,1000,13,13,1000,1000,0.0,0,0
78,3,1000,13,13,1000,1000,0.0,0,0
52,2,1000,13,13,1000,1000,0.0,0,0
52,2,1000,13,13,1000,1000,0.0,0,0
52,2,1000,13,13,1000,1000,0.0,0,0
26,1,1000,13,13,1000,1000,0.0,0,0
52,2,1000,13,13,1000,1000,0.0,0,0
78,3,1000,13,13,1000,1000,0.0,0,0
52,2,1000,13,13,1000,1000,0.0,0,0
78,3,1000,13,13,1000,1000,0.0,0,0
52,2,1000,13,13,1000,1000,0.0,0,0
52,2,1000,13,13,1000,1000,0.0,0,0
52,2,1000,13,13,1000,1000,0.0,0,0
52,2,1000,13,13,1000,1000,0.0,0,0
78,3,1000,13,13,1000,1000,0.0,0,0
52,2,1000,13,13,1000,1000,0.0,0,0
52,2,1000,13,13,1000,1000,0.0,0,0
52,2,1000,13,13,1000,1000,0.0,0,0
52,2,1000,13,13,1000,1000,0.0,0,0
26,1,1000,13,13,1000,1000,0.0,0,0
52,2,1000,13,13,1000,1000,0.0,0,0
52,2,1000,13,13,1000,1000,0.0,0,0
78,3,1000,13,13,1000,1000,0.0,0,0
52,2,1000,13,13,1000,1000,0.0,0,0
78,3,1000,13,13,1000,1000,0.0,0,0
52,2,1000,13,13,1000,1000,0.0,0,0
78,3,1000,13,13,1000,1000,0.0,0,0
78,3,1000,13,13,1000,1000,0.0,0,0
78,3,1000,13,13,1000,1000,0.0,0,0
78,3,1000,13,13,1000,1000,0.0,0,0
78,3,1000,13,13,1000,1000,0.0,0,0
74,3,1000,13,13,1000,1000,0.0,0,0
76,3,1000,13,13,1000,1000,0.0,0,0
52,2,1000,13,13,1000,1000,0.0,0,0
78,3,1000,13,13,1000,1000,0.0,0,0
52,2,1000,13,13,1000,1000,0.0,0,0
52,2,1000,13,13,1000,1000,0.0,0,0
52,2,1000,13,13,1000,1000,0.0,0,0
78,3,1000,13,13,1000,1000,0.0,0,0
98,4,1000,13,13,1000,1000,0.0,0,0
78,3,1000,13,13,1000,1000,0.0,0,0
104,4,1000,13,13,1000,1000,0.0,0,0
52,2,1000,13,13,1000,1000,0.0,0,0
52,2,1000,13,13,1000,1000,0.0,0,0
102,4,1000,13,13,1000,1000,0.0,0,0
52,2,1000,13,13,1000,1000,0.0,0,0
78,3,1000,13,13,1000,1000,0.0,0,0
52,2,1000,13,13,1000,1000,0.0,0,0
104,4,1000,13,13,1000,1000,0.0,0,0
52,2,1000,13,13,1000,1000,0.0,0,0
52,2,1000,13,13,1000,1000,0.0,0,0
76,3,1000,13,13,1000,1000,0.0,0,0
100,4,1000,13,13,1000,1000,0.0,0,0
52,2,1000,13,13,1000,1000,0.0,0,0
78,3,1000,13,13,1000,1000,0.0,0,0
76,3,1000,13,13,1000,1000,0.0,0,0
78,3,1000,13,13,1000,1000,0.0,0,0
74,3,1000,13,13,1000,1000,0.0,0,0
104,4,1000,13,13,1000,1000,0.0,0,0
104,4,1000,13,13,1000,1000,0.0,0,0
104,4,1000,13,13,1000,1000,0.0,0,0
130,5,1000,13,13,1000,1000,0.0,0,0
124,5,1000,13,13,1000,1000,0.0,0,0
130,5,1000,13,13,1000,1000,0.0,0,0
156,6,1000,13,13,1000,1000,0.0,0,0
104,4,1000,13,13,1000,1000,0.0,0,0
130,5,1000,13,13,1000,1000,0.0,0,0
130,5,1000,13,13,1000,1000,0.0,0,0
104,4,1000,13,13,1000,1000,0.0,0,0
144,6,1000,13,13,1000,1000,0.0,0,0
118,5,1000,13,13,1000,1000,0.0,0,0
156,6,1000,13,13,1000,1000,0.0,0,0
130,5,1000,13,13,1000,1000,0.0,0,0
152,6,1000,13,13,1000,1000,0.0,0,0
156,6,1000,13,13,1000,1000,0.0,0,0
150,6,1000,13,13,1000,1000,0.0,0,0
182,7,1000,13,13,1000,1000,0.0,0,0
180,7,1000,13,13,1000,1000,0.0,0,0
180,7,1000,13,13,1000,1000,0.0,0,0
