step,step2,num,connect_x,connect_y,area_x,area_y,speed,time1,time2
40,2,1000,10,10,1000,1000,0.0,0,0
20,1,1000,10,10,1000,1000,0.0,0,0
20,1,1000,10,10,1000,1000,0.0,0,0
40,2,1000,10,10,1000,1000,0.0,0,0
40,2,1000,10,10,1000,1000,0.0,0,0
40,2,1000,10,10,1000,1000,0.0,0,0
40,2,1000,10,10,1000,1000,0.0,0,0
40,2,1000,10,10,1000,1000,0.0,0,0
40,2,1000,10,10,1000,1000,0.0,0,0
20,1,1000,10,10,1000,1000,0.0,0,0
40,2,1000,10,10,1000,1000,0.0,0,0
60,3,1000,10,10,1000,1000,0.0,0,0
60,3,1000,10,10,1000,1000,0.0,0,0
40,2,1000,10,10,1000,1000,0.0,0,0
60,3,1000,10,10,1000,1000,0.0,0,0
40,2,1000,10,10,1000,1000,0.0,0,0
40,2,1000,10,10,1000,1000,0.0,0,0
58,3,1000,10,10,1000,1000,0.0,0,0
40,2,1000,10,10,1000,1000,0.0,0,0
40,2,1000,10,10,1000,1000,0.0,0,0
40,2,1000,10,10,1000,1000,0.0,0,0
20,1,1000,10,10,1000,1000,0.0,0,0
40,2,1000,10,10,1000,1000,0.0,0,0
40,2,1000,10,10,1000,1000,0.0,0,0
40,2,1000,10,10,1000,1000,0.0,0,0
40,2,1000,10,10,1000,1000,0.0,0,0
20,1,1000,10,10,1000,1000,0.0,0,0
40,2,1000,10,10,1000,1000,0.0,0,0
40,2,1000,10,10,1000,1000,0.0,0,0
40,2,1000,10,10,1000,1000,0.0,0,0
52,3,1000,10,10,1000,1000,0.0,0,0
40,2,1000,10,10,1000,1000,0.0,0,0
20,1,1000,10,10,1000,1000,0.0,0,0
40,2,1000,10,10,1000,1000,0.0,0,0
60,3,1000,10,10,1000,1000,0.0,0,0
20,1,1000,10,10,1000,1000,0.0,0,0
40,2,1000,10,10,1000,1000,0.0,0,0
40,2,1000,10,10,1000,1000,0.0,0,0
40,2,1000,10,10,1000,1000,0.0,0,0
60,3,1000,10,10,1000,1000,0.0,0,0
40,2,1000,10,10,1000,1000,0.0,0,0
80,4,1000,10,10,1000,1000,0.0,0,0
60,3,1000,10,10,1000,1000,0.0,0,0
60,3,1000,10,10,1000,1000,0.0,0,0
60,3,1000,10,10,1000,1000,0.0,0,0
40,2,1000,10,10,1000,1000,0.0,0,0
60,3,1000,10,10,1000,1000,0.0,0,0
40,2,1000,10,10,1000,1000,0.0,0,0
80,4,1000,10,10,1000,1000,0.0,0,0
60,3,1000,10,10,1000,1000,0.0,0,0
40,2,1000,10,10,1000,1000,0.0,0,0
82,5,1000,10,10,1000,1000,0.0,0,0
58,3,1000,10,10,1000,1000,0.0,0,0
60,3,1000,10,10,1000,1000,0.0,0,0
60,3,1000,10,10,1000,1000,0.0,0,0
40,2,1000,10,10,1000,1000,0.0,0,0
40,2,1000,10,10,1000,1000,0.0,0,0
60,3,1000,10,10,1000,1000,0.0,0,0
60,3,1000,10,10,1000,1000,0.0,0,0
78,4,1000,10,10,1000,1000,0.0,0,0
80,4,1000,10,10,1000,1000,0.0,0,0
60,3,1000,10,10,1000,1000,0.0,0,0
60,3,1000,10,10,1000,1000,0.0,0,0
60,3,1000,10,10,1000,1000,0.0,0,0
80,4,1000,10,10,1000,1000,0.0,0,0
76,4,1000,10,10,1000,1000,0.0,0,0
60,3,1000,10,10,1000,1000,0.0,0,0
100,5,1000,10,10,1000,1000,0.0,0,0
80,4,1000,10,10,1000,1000,0.0,0,0
70,4,1000,10,10,1000,1000,0.0,0,0
80,4,1000,10,10,1000,1000,0.0,0,0
80,4,1000,10,10,1000,1000,0.0,0,0
114,6,1000,10,10,1000,1000,0.0,0,0
60,3,1000,10,10,1000,1000,0.0,0,0
100,5,1000,10,10,1000,1000,0.0,0,0
40,2,1000,10,10,1000,1000,0.0,0,0
80,4,1000,10,10,1000,1000,0.0,0,0
84,5,1000,10,10,1000,1000,0.0,0,0
60,3,1000,10,10,1000,1000,0.0,0,0
40,2,1000,10,10,1000,1000,0.0,0,0
94,5,1000,10,10,1000,1000,0.0,0,0
100,5,1000,10,10,1000,1000,0.0,0,0
92,5,1000,10,10,1000,1000,0.0,0,0
88,5,1000,10,10,1000,1000,0.0,0,0
100,5,1000,10,10,1000,1000,0.0,0,0
120,6,1000,10,10,1000,1000,0.0,0,0
132,7,1000,10,10,1000,1000,0.0,0,0
120,6,1000,10,10,1000,1000,0.0,0,0
100,5,1000,10,10,1000,1000,0.0,0,0
90,5,1000,10,10,1000,1000,0.0,0,0
112,6,1000,10,10,1000,1000,0.0,0,0
100,5,1000,10,10,1000,1000,0.0,0,0
140,7,1000,10,10,1000,1000,0.0,0,0
120,6,1000,10,10,1000,1000,0.0,0,0
160,8,1000,10,10,1000,1000,0.0,0,0
136,7,1000,10,10,1000,1000,0.0,0,0
150,8,1000,10,10,1000,1000,0.0,0,0
160,8,1000,10,10,1000,1000,0.0,0,0
154,8,1000,10,10,1000,1000,0.0,0,0
148,8,1000,10,10,1000,1000,0.0,0,0
