step,step2,num,connect_x,connect_y,area_x,area_y,speed,time1,time2
44,2,1000,11,11,1000,1000,0.0,0,0
44,2,1000,11,11,1000,1000,0.0,0,0
44,2,1000,11,11,1000,1000,0.0,0,0
22,1,1000,11,11,1000,1000,0.0,0,0
44,2,1000,11,11,1000,1000,0.0,0,0
22,1,1000,11,11,1000,1000,0.0,0,0
22,1,1000,11,11,1000,1000,0.0,0,0
44,2,1000,11,11,1000,1000,0.0,0,0
44,2,1000,11,11,1000,1000,0.0,0,0
44,2,1000,11,11,1000,1000,0.0,0,0
66,3,1000,11,11,1000,1000,0.0,0,0
82,4,1000,11,11,1000,1000,0.0,0,0
44,2,1000,11,11,1000,1000,0.0,0,0
44,2,1000,11,11,1000,1000,0.0,0,0
44,2,1000,11,11,1000,1000,0.0,0,0
44,2,1000,11,11,1000,1000,0.0,0,0
22,1,1000,11,11,1000,1000,0.0,0,0
44,2,1000,11,11,1000,1000,0.0,0,0
44,2,1000,11,11,1000,1000,0.0,0,0
44,2,1000,11,11,1000,1000,0.0,0,0
88,4,1000,11,11,1000,1000,0.0,0,0
60,3,1000,11,11,1000,1000,0.0,0,0
44,2,1000,11,11,1000,1000,0.0,0,0
44,2,1000,11,11,1000,1000,0.0,0,0
44,2,1000,11,11,1000,1000,0.0,0,0
66,3,1000,11,11,1000,1000,0.0,0,0
44,2,1000,11,11,1000,1000,0.0,0,0
66,3,1000,11,11,1000,1000,0.0,0,0
44,2,1000,11,11,1000,1000,0.0,0,0
22,1,1000,11,11,1000,1000,0.0,0,0
44,2,1000,11,11,1000,1000,0.0,0,0
44,2,1000,11,11,1000,1000,0.0,0,0
44,2,1000,11,11,1000,1000,0.0,0,0
44,2,1000,11,11,1000,1000,0.0,0,0
44,2,1000,11,11,1000,1000,0.0,0,0
44,2,1000,11,11,1000,1000,0.0,0,0
44,2,1000,11,11,1000,1000,0.0,0,0
52,3,1000,11,11,1000,1000,0.0,0,0
62,3,1000,11,11,1000,1000,0.0,0,0
44,2,1000,11,11,1000,1000,0.0,0,0
44,2,1000,11,11,1000,1000,0.0,0,0
44,2,1000,11,11,1000,1000,0.0,0,0
44,2,1000,11,11,1000,1000,0.0,0,0
44,2,1000,11,11,1000,1000,0.0,0,0
66,3,1000,11,11,1000,1000,0.0,0,0
66,3,1000,11,11,1000,1000,0.0,0,0
66,3,1000,11,11,1000,1000,0.0,0,0
44,2,1000,11,11,1000,1000,0.0,0,0
66,3,1000,11,11,1000,1000,0.0,0,0
44,2,1000,11,11,1000,1000,0.0,0,0
44,2,1000,11,11,1000,1000,0.0,0,0
66,3,1000,11,11,1000,1000,0.0,0,0
60,3,1000,11,11,1000,1000,0.0,0,0
44,2,1000,11,11,1000,1000,0.0,0,0
44,2,1000,11,11,1000,1000,0.0,0,0
44,2,1000,11,11,1000,1000,0.0,0,0
66,3,1000,11,11,1000,1000,0.0,0,0
44,2,1000,11,11,1000,1000,0.0,0,0
66,3,1000,11,11,1000,1000,0.0,0,0
66,3,1000,11,11,1000,1000,0.0,0,0
66,3,1000,11,11,1000,1000,0.0,0,0
66,3,1000,11,11,1000,1000,0.0,0,0
88,4,1000,11,11,1000,1000,0.0,0,0
88,4,1000,11,11,1000,1000,0.0,0,0
66,3,1000,11,11,1000,1000,0.0,0,0
88,4,1000,11,11,1000,1000,0.0,0,0
66,3,1000,11,11,1000,1000,0.0,0,0
132,6,1000,11,11,1000,1000,0.0,0,0
66,3,1000,11,11,1000,1000,0.0,0,0
88,4,1000,11,11,1000,1000,0.0,0,0
88,4,1000,11,11,1000,1000,0.0,0,0
130,6,1000,11,11,1000,1000,0.0,0,0
66,3,1000,11,11,1000,1000,0.0,0,0
110,5,1000,11,11,1000,1000,0.0,0,0
66,3,1000,11,11,1000,1000,0.0,0,0
110,5,1000,11,11,1000,1000,0.0,0,0
88,4,1000,11,11,1000,1000,0.0,0,0
126,6,1000,11,11,1000,1000,0.0,0,0
58,3,1000,11,11,1000,1000,0.0,0,0
110,5,1000,11,11,1000,1000,0.0,0,0
110,5,1000,11,11,1000,1000,0.0,0,0
110,5,1000,11,11,1000,1000,0.0,0,0
88,4,1000,11,11,1000,1000,0.0,0,0
132,6,1000,11,11,1000,1000,0.0,0,0
88,4,1000,11,11,1000,1000,0.0,0,0
88,4,1000,11,11,1000,1000,0.0,0,0
88,4,1000,11,11,1000,1000,0.0,0,0
130,6,1000,11,11,1000,1000,0.0,0,0
108,5,1000,11,11,1000,1000,0.0,0,0
110,5,1000,11,11,1000,1000,0.0,0,0
110,5,1000,11,11,1000,1000,0.0,0,0
110,5,1000,11,11,1000,1000,0.0,0,0
86,4,1000,11,11,1000,1000,0.0,0,0
98,5,1000,11,11,1000,1000,0.0,0,0
132,6,1000,11,11,1000,1000,0.0,0,0
110,5,1000,11,11,1000,1000,0.0,0,0
110,5,1000,11,11,1000,1000,0.0,0,0
168,8,1000,11,11,1000,1000,0.0,0,0
132,6,1000,11,11,1000,1000,0.0,0,0
148,7,1000,11,11,1000,1000,0.0,0,0
