step,step2,num,connect_x,connect_y,area_x,area_y,speed,time1,time2
34,3,1000,6,6,1000,1000,0.0,0,0
36,3,1000,6,6,1000,1000,0.0,0,0
12,1,1000,6,6,1000,1000,0.0,0,0
46,4,1000,6,6,1000,1000,0.0,0,0
24,2,1000,6,6,1000,1000,0.0,0,0
24,2,1000,6,6,1000,1000,0.0,0,0
36,3,1000,6,6,1000,1000,0.0,0,0
32,3,1000,6,6,1000,1000,0.0,0,0
34,3,1000,6,6,1000,1000,0.0,0,0
42,4,1000,6,6,1000,1000,0.0,0,0
36,4,1000,6,6,1000,1000,0.0,0,0
46,4,1000,6,6,1000,1000,0.0,0,0
24,2,1000,6,6,1000,1000,0.0,0,0
58,5,1000,6,6,1000,1000,0.0,0,0
24,2,1000,6,6,1000,1000,0.0,0,0
58,5,1000,6,6,1000,1000,0.0,0,0
24,2,1000,6,6,1000,1000,0.0,0,0
48,4,1000,6,6,1000,1000,0.0,0,0
24,2,1000,6,6,1000,1000,0.0,0,0
48,4,1000,6,6,1000,1000,0.0,0,0
36,3,1000,6,6,1000,1000,0.0,0,0
24,2,1000,6,6,1000,1000,0.0,0,0
80,7,1000,6,6,1000,1000,0.0,0,0
24,2,1000,6,6,1000,1000,0.0,0,0
48,5,1000,6,6,1000,1000,0.0,0,0
36,3,1000,6,6,1000,1000,0.0,0,0
34,3,1000,6,6,1000,1000,0.0,0,0
48,4,1000,6,6,1000,1000,0.0,0,0
36,3,1000,6,6,1000,1000,0.0,0,0
48,4,1000,6,6,1000,1000,0.0,0,0
48,4,1000,6,6,1000,1000,0.0,0,0
52,5,1000,6,6,1000,1000,0.0,0,0
56,5,1000,6,6,1000,1000,0.0,0,0
120,11,1000,6,6,1000,1000,0.0,0,0
34,3,1000,6,6,1000,1000,0.0,0,0
24,2,1000,6,6,1000,1000,0.0,0,0
48,4,1000,6,6,1000,1000,0.0,0,0
60,5,1000,6,6,1000,1000,0.0,0,0
36,3,1000,6,6,1000,1000,0.0,0,0
36,3,1000,6,6,1000,1000,0.0,0,0
38,4,1000,6,6,1000,1000,0.0,0,0
40,5,1000,6,6,1000,1000,0.0,0,0
72,6,1000,6,6,1000,1000,0.0,0,0
72,6,1000,6,6,1000,1000,0.0,0,0
70,6,1000,6,6,1000,1000,0.0,0,0
48,4,1000,6,6,1000,1000,0.0,0,0
72,6,1000,6,6,1000,1000,0.0,0,0
66,6,1000,6,6,1000,1000,0.0,0,0
58,7,1000,6,6,1000,1000,0.0,0,0
54,6,1000,6,6,1000,1000,0.0,0,0
106,9,1000,6,6,1000,1000,0.0,0,0
84,7,1000,6,6,1000,1000,0.0,0,0
88,9,1000,6,6,1000,1000,0.0,0,0
94,8,1000,6,6,1000,1000,0.0,0,0
46,4,1000,6,6,1000,1000,0.0,0,0
32,3,1000,6,6,1000,1000,0.0,0,0
54,7,1000,6,6,1000,1000,0.0,0,0
106,10,1000,6,6,1000,1000,0.0,0,0
94,8,1000,6,6,1000,1000,0.0,0,0
102,9,1000,6,6,1000,1000,0.0,0,0
40,4,1000,6,6,1000,1000,0.0,0,0
94,9,1000,6,6,1000,1000,0.0,0,0
76,8,1000,6,6,1000,1000,0.0,0,0
92,8,1000,6,6,1000,1000,0.0,0,0
102,9,1000,6,6,1000,1000,0.0,0,0
72,6,1000,6,6,1000,1000,0.0,0,0
114,10,1000,6,6,1000,1000,0.0,0,0
86,8,1000,6,6,1000,1000,0.0,0,0
92,9,1000,6,6,1000,1000,0.0,0,0
118,10,1000,6,6,1000,1000,0.0,0,0
92,10,1000,6,6,1000,1000,0.0,0,0
106,10,1000,6,6,1000,1000,0.0,0,0
106,9,1000,6,6,1000,1000,0.0,0,0
84,7,1000,6,6,1000,1000,0.0,0,0
102,9,1000,6,6,1000,1000,0.0,0,0
118,10,1000,6,6,1000,1000,0.0,0,0
120,10,1000,6,6,1000,1000,0.0,0,0
102,10,1000,6,6,1000,1000,0.0,0,0
60,5,1000,6,6,1000,1000,0.0,0,0
88,8,1000,6,6,1000,1000,0.0,0,0
74,7,1000,6,6,1000,1000,0.0,0,0
106,11,1000,6,6,1000,1000,0.0,0,0
116,10,1000,6,6,1000,1000,0.0,0,0
108,12,1000,6,6,1000,1000,0.0,0,0
116,10,1000,6,6,1000,1000,0.0,0,0
128,11,1000,6,6,1000,1000,0.0,0,0
130,12,1000,6,6,1000,1000,0.0,0,0
106,9,1000,6,6,1000,1000,0.0,0,0
132,12,1000,6,6,1000,1000,0.0,0,0
170,15,1000,6,6,1000,1000,0.0,0,0
142,12,1000,6,6,1000,1000,0.0,0,0
82,11,1000,6,6,1000,1000,0.0,0,0
132,11,1000,6,6,1000,1000,0.0,0,0
138,15,1000,6,6,1000,1000,0.0,0,0
142,15,1000,6,6,1000,1000,0.0,0,0
178,16,1000,6,6,1000,1000,0.0,0,0
188,18,1000,6,6,1000,1000,0.0,0,0
184,16,1000,6,6,1000,1000,0.0,0,0
160,14,1000,6,6,1000,1000,0.0,0,0
220,20,1000,6,6,1000,1000,0.0,0,0
