step,step2,num,connect_x,connect_y,area_x,area_y,speed,time1,time2
10,1,1000,5,5,1000,1000,0.0,0,0
20,2,1000,5,5,1000,1000,0.0,0,0
40,4,1000,5,5,1000,1000,0.0,0,0
20,2,1000,5,5,1000,1000,0.0,0,0
44,5,1000,5,5,1000,1000,0.0,0,0
46,5,1000,5,5,1000,1000,0.0,0,0
46,5,1000,5,5,1000,1000,0.0,0,0
28,3,1000,5,5,1000,1000,0.0,0,0
58,6,1000,5,5,1000,1000,0.0,0,0
30,3,1000,5,5,1000,1000,0.0,0,0
40,4,1000,5,5,1000,1000,0.0,0,0
60,7,1000,5,5,1000,1000,0.0,0,0
40,4,1000,5,5,1000,1000,0.0,0,0
20,2,1000,5,5,1000,1000,0.0,0,0
44,5,1000,5,5,1000,1000,0.0,0,0
26,3,1000,5,5,1000,1000,0.0,0,0
94,11,1000,5,5,1000,1000,0.0,0,0
24,3,1000,5,5,1000,1000,0.0,0,0
50,5,1000,5,5,1000,1000,0.0,0,0
28,3,1000,5,5,1000,1000,0.0,0,0
50,5,1000,5,5,1000,1000,0.0,0,0
50,5,1000,5,5,1000,1000,0.0,0,0
90,10,1000,5,5,1000,1000,0.0,0,0
66,7,1000,5,5,1000,1000,0.0,0,0
52,6,1000,5,5,1000,1000,0.0,0,0
48,6,1000,5,5,1000,1000,0.0,0,0
86,9,1000,5,5,1000,1000,0.0,0,0
58,6,1000,5,5,1000,1000,0.0,0,0
42,5,1000,5,5,1000,1000,0.0,0,0
84,9,1000,5,5,1000,1000,0.0,0,0
64,7,1000,5,5,1000,1000,0.0,0,0
62,8,1000,5,5,1000,1000,0.0,0,0
90,9,1000,5,5,1000,1000,0.0,0,0
78,9,1000,5,5,1000,1000,0.0,0,0
70,8,1000,5,5,1000,1000,0.0,0,0
52,7,1000,5,5,1000,1000,0.0,0,0
50,6,1000,5,5,1000,1000,0.0,0,0
52,6,1000,5,5,1000,1000,0.0,0,0
74,8,1000,5,5,1000,1000,0.0,0,0
84,9,1000,5,5,1000,1000,0.0,0,0
62,7,1000,5,5,1000,1000,0.0,0,0
76,11,1000,5,5,1000,1000,0.0,0,0
72,8,1000,5,5,1000,1000,0.0,0,0
128,13,1000,5,5,1000,1000,0.0,0,0
86,10,1000,5,5,1000,1000,0.0,0,0
88,9,1000,5,5,1000,1000,0.0,0,0
48,6,1000,5,5,1000,1000,0.0,0,0
64,8,1000,5,5,1000,1000,0.0,0,0
96,10,1000,5,5,1000,1000,0.0,0,0
64,7,1000,5,5,1000,1000,0.0,0,0
108,12,1000,5,5,1000,1000,0.0,0,0
104,13,1000,5,5,1000,1000,0.0,0,0
72,10,1000,5,5,1000,1000,0.0,0,0
100,11,1000,5,5,1000,1000,0.0,0,0
84,10,1000,5,5,1000,1000,0.0,0,0
114,12,1000,5,5,1000,1000,0.0,0,0
136,14,1000,5,5,1000,1000,0.0,0,0
136,15,1000,5,5,1000,1000,0.0,0,0
140,17,1000,5,5,1000,1000,0.0,0,0
104,12,1000,5,5,1000,1000,0.0,0,0
76,10,1000,5,5,1000,1000,0.0,0,0
94,10,1000,5,5,1000,1000,0.0,0,0
122,13,1000,5,5,1000,1000,0.0,0,0
118,13,1000,5,5,1000,1000,0.0,0,0
110,14,1000,5,5,1000,1000,0.0,0,0
114,13,1000,5,5,1000,1000,0.0,0,0
88,13,1000,5,5,1000,1000,0.0,0,0
102,11,1000,5,5,1000,1000,0.0,0,0
122,15,1000,5,5,1000,1000,0.0,0,0
90,12,1000,5,5,1000,1000,0.0,0,0
94,12,1000,5,5,1000,1000,0.0,0,0
138,15,1000,5,5,1000,1000,0.0,0,0
104,12,1000,5,5,1000,1000,0.0,0,0
158,16,1000,5,5,1000,1000,0.0,0,0
144,17,1000,5,5,1000,1000,0.0,0,0
138,16,1000,5,5,1000,1000,0.0,0,0
150,17,1000,5,5,1000,1000,0.0,0,0
156,18,1000,5,5,1000,1000,0.0,0,0
134,16,1000,5,5,1000,1000,0.0,0,0
164,19,1000,5,5,1000,1000,0.0,0,0
178,21,1000,5,5,1000,1000,0.0,0,0
170,21,1000,5,5,1000,1000,0.0,0,0
170,19,1000,5,5,1000,1000,0.0,0,0
198,21,1000,5,5,1000,1000,0.0,0,0
178,21,1000,5,5,1000,1000,0.0,0,0
220,23,1000,5,5,1000,1000,0.0,0,0
268,28,1000,5,5,1000,1000,0.0,0,0
236,27,1000,5,5,1000,1000,0.0,0,0
246,31,1000,5,5,1000,1000,0.0,0,0
500,54,1000,5,5,1000,1000,0.0,0,0
500,50,1000,5,5,1000,1000,0.0,0,0
500,51,1000,5,5,1000,1000,0.0,0,0
500,52,1000,5,5,1000,1000,0.0,0,0
500,72,1000,5,5,1000,1000,0.0,0,0
500,94,1000,5,5,1000,1000,0.0,0,0
500,116,1000,5,5,1000,1000,0.0,0,0
500,128,1000,5,5,1000,1000,0.0,0,0
500,140,1000,5,5,1000,1000,0.0,0,0
500,139,1000,5,5,1000,1000,0.0,0,0
500,158,1000,5,5,1000,1000,0.0,0,0
