step,step2,score_mean,num,connect_x,connect_y,area_x,area_y,speed,time1,time2
6362,1000,0.722642857142856,1000,7,7,1000,1000,6.153846153846154,0,0
6824,1000,0.7158571428571427,1000,7,7,1000,1000,5.7142857142857135,0,0
5936,1000,0.7189999999999993,1000,7,7,1000,1000,4.705882352941177,0,0
7262,1000,0.7025714285714281,1000,7,7,1000,1000,8.0,0,0
7166,1000,0.7028571428571428,1000,7,7,1000,1000,8.88888888888889,0,0
6488,1000,0.7294285714285695,1000,7,7,1000,1000,5.333333333333333,0,0
6170,1000,0.7371428571428575,1000,7,7,1000,1000,4.2105263157894735,0,0
8094,1000,0.6899999999999992,1000,7,7,1000,1000,10.0,0,0
6642,1000,0.7167142857142852,1000,7,7,1000,1000,6.666666666666666,0,0
6252,1000,0.7227857142857149,1000,7,7,1000,1000,5.0,0,0
8842,1000,0.6657142857142834,1000,7,7,1000,1000,13.333333333333332,0,0
6444,1000,0.7190714285714266,1000,7,7,1000,1000,4.444444444444445,0,0
7352,1000,0.6949285714285706,1000,7,7,1000,1000,11.428571428571427,0,0
6846,1000,0.7015714285714288,1000,7,7,1000,1000,7.272727272727273,0,0
10558,1000,0.6277142857142852,1000,7,7,1000,1000,20.0,0,0
11298,1000,0.6157142857142855,1000,7,7,1000,1000,26.666666666666664,0,0
9600,1000,0.6401428571428562,1000,7,7,1000,1000,16.0,0,0
12980,1000,0.5174999999999997,1000,7,7,1000,1000,40.0,0,0
13976,1000,0.18735714285714306,1000,7,7,1000,1000,80.0,0,0
13988,1000,0.036000000000000115,1000,7,7,1000,1000,400.0,0,0
