step,step2,score_mean,num,connect_x,connect_y,area_x,area_y,speed,time1,time2
8368,1000,0.7317222222222229,1000,9,9,1000,1000,7.272727272727273,0,0
7584,1000,0.7463888888888897,1000,9,9,1000,1000,5.0,0,0
9572,1000,0.7081111111111096,1000,9,9,1000,1000,8.0,0,0
8460,1000,0.7322777777777771,1000,9,9,1000,1000,10.0,0,0
8154,1000,0.7452777777777785,1000,9,9,1000,1000,5.7142857142857135,0,0
7414,1000,0.7418333333333347,1000,9,9,1000,1000,4.444444444444445,0,0
9636,1000,0.706444444444442,1000,9,9,1000,1000,11.428571428571427,0,0
7146,1000,0.7439999999999983,1000,9,9,1000,1000,4.705882352941177,0,0
7456,1000,0.7362222222222219,1000,9,9,1000,1000,5.333333333333333,0,0
7526,1000,0.7392222222222231,1000,9,9,1000,1000,4.2105263157894735,0,0
8578,1000,0.726999999999997,1000,9,9,1000,1000,8.88888888888889,0,0
7788,1000,0.7462777777777779,1000,9,9,1000,1000,6.153846153846154,0,0
8218,1000,0.7289444444444432,1000,9,9,1000,1000,6.666666666666666,0,0
9640,1000,0.7037777777777753,1000,9,9,1000,1000,13.333333333333332,0,0
11370,1000,0.6822222222222185,1000,9,9,1000,1000,16.0,0,0
13660,1000,0.6428888888888847,1000,9,9,1000,1000,20.0,0,0
14940,1000,0.6157222222222191,1000,9,9,1000,1000,26.666666666666664,0,0
17028,1000,0.5318888888888879,1000,9,9,1000,1000,40.0,0,0
17768,1000,0.500666666666667,1000,9,9,1000,1000,80.0,0,0
18004,1000,0.049611111111111425,1000,9,9,1000,1000,400.0,0,0
