step,step2,score_mean,num,connect_x,connect_y,area_x,area_y,speed,time1,time2
9472,1000,0.7661923076923074,1000,13,13,1000,1000,4.705882352941177,0,0
9226,1000,0.7662692307692271,1000,13,13,1000,1000,6.666666666666666,0,0
8804,1000,0.7739999999999969,1000,13,13,1000,1000,6.153846153846154,0,0
9746,1000,0.7628846153846152,1000,13,13,1000,1000,5.333333333333333,0,0
9062,1000,0.7721153846153821,1000,13,13,1000,1000,4.444444444444445,0,0
9396,1000,0.7711538461538436,1000,13,13,1000,1000,5.0,0,0
12030,1000,0.7506538461538439,1000,13,13,1000,1000,8.88888888888889,0,0
13650,1000,0.7190000000000016,1000,13,13,1000,1000,11.428571428571427,0,0
12028,1000,0.7435384615384599,1000,13,13,1000,1000,8.0,0,0
9858,1000,0.7738461538461494,1000,13,13,1000,1000,5.7142857142857135,0,0
8720,1000,0.769884615384611,1000,13,13,1000,1000,4.2105263157894735,0,0
11064,1000,0.7496538461538463,1000,13,13,1000,1000,7.272727272727273,0,0
15482,1000,0.7131923076923113,1000,13,13,1000,1000,10.0,0,0
19948,1000,0.6741923076923116,1000,13,13,1000,1000,13.333333333333332,0,0
17366,1000,0.686192307692311,1000,13,13,1000,1000,16.0,0,0
19820,1000,0.6591538461538503,1000,13,13,1000,1000,20.0,0,0
23130,1000,0.6240000000000043,1000,13,13,1000,1000,26.666666666666664,0,0
24984,1000,0.5872692307692335,1000,13,13,1000,1000,40.0,0,0
25854,1000,0.48126923076923067,1000,13,13,1000,1000,80.0,0,0
26000,1000,0.03876923076923115,1000,13,13,1000,1000,400.0,0,0
