step,step2,score_mean,num,connect_x,connect_y,area_x,area_y,speed,time1,time2
8602,1000,0.7524999999999995,1000,11,11,1000,1000,4.444444444444445,0,0
8772,1000,0.7585909090909098,1000,11,11,1000,1000,7.272727272727273,0,0
8290,1000,0.7626818181818198,1000,11,11,1000,1000,4.705882352941177,0,0
8176,1000,0.7533181818181833,1000,11,11,1000,1000,5.7142857142857135,0,0
9298,1000,0.7508181818181832,1000,11,11,1000,1000,6.153846153846154,0,0
8636,1000,0.7548636363636375,1000,11,11,1000,1000,5.333333333333333,0,0
8154,1000,0.7643636363636377,1000,11,11,1000,1000,4.2105263157894735,0,0
9594,1000,0.758272727272729,1000,11,11,1000,1000,6.666666666666666,0,0
13656,1000,0.6934999999999995,1000,11,11,1000,1000,11.428571428571427,0,0
10506,1000,0.7364545454545462,1000,11,11,1000,1000,8.88888888888889,0,0
10824,1000,0.7361818181818167,1000,11,11,1000,1000,8.0,0,0
8036,1000,0.7590000000000016,1000,11,11,1000,1000,5.0,0,0
9544,1000,0.7381363636363625,1000,11,11,1000,1000,10.0,0,0
17314,1000,0.6579999999999968,1000,11,11,1000,1000,16.0,0,0
14334,1000,0.6911363636363612,1000,11,11,1000,1000,13.333333333333332,0,0
17388,1000,0.6514999999999974,1000,11,11,1000,1000,20.0,0,0
19904,1000,0.6123636363636342,1000,11,11,1000,1000,26.666666666666664,0,0
20346,1000,0.604363636363634,1000,11,11,1000,1000,40.0,0,0
21908,1000,0.3493636363636369,1000,11,11,1000,1000,80.0,0,0
22004,1000,0.08695454545454617,1000,11,11,1000,1000,400.0,0,0
