step,step2,score_mean,num,connect_x,connect_y,area_x,area_y,speed,time1,time2
8892,1000,0.7759999999999995,1000,14,14,1000,1000,4.2105263157894735,0,0
9708,1000,0.7822142857142864,1000,14,14,1000,1000,5.7142857142857135,0,0
9590,1000,0.7734642857142845,1000,14,14,1000,1000,4.705882352941177,0,0
9524,1000,0.7779642857142862,1000,14,14,1000,1000,4.444444444444445,0,0
10460,1000,0.7660714285714293,1000,14,14,1000,1000,5.333333333333333,0,0
10630,1000,0.7585357142857146,1000,14,14,1000,1000,8.0,0,0
10844,1000,0.7704642857142879,1000,14,14,1000,1000,5.0,0,0
9776,1000,0.7796428571428579,1000,14,14,1000,1000,6.153846153846154,0,0
10212,1000,0.7628214285714289,1000,14,14,1000,1000,6.666666666666666,0,0
12682,1000,0.7524285714285699,1000,14,14,1000,1000,7.272727272727273,0,0
20976,1000,0.6754285714285712,1000,14,14,1000,1000,13.333333333333332,0,0
13270,1000,0.735500000000001,1000,14,14,1000,1000,10.0,0,0
16168,1000,0.7188928571428564,1000,14,14,1000,1000,8.88888888888889,0,0
19606,1000,0.6894285714285716,1000,14,14,1000,1000,11.428571428571427,0,0
20414,1000,0.675214285714286,1000,14,14,1000,1000,16.0,0,0
26506,1000,0.608178571428571,1000,14,14,1000,1000,40.0,0,0
24864,1000,0.640214285714287,1000,14,14,1000,1000,20.0,0,0
26342,1000,0.6074642857142858,1000,14,14,1000,1000,26.666666666666664,0,0
27902,1000,0.4643928571428567,1000,14,14,1000,1000,80.0,0,0
28004,1000,0.08550000000000005,1000,14,14,1000,1000,400.0,0,0
