step,step2,score_mean,num,connect_x,connect_y,area_x,area_y,speed,time1,time2
10728,1000,0.7709666666666647,1000,15,15,1000,1000,5.7142857142857135,0,0
9566,1000,0.7855333333333319,1000,15,15,1000,1000,5.0,0,0
12328,1000,0.7628999999999988,1000,15,15,1000,1000,6.666666666666666,0,0
12994,1000,0.7715666666666645,1000,15,15,1000,1000,7.272727272727273,0,0
9086,1000,0.7709333333333312,1000,15,15,1000,1000,4.705882352941177,0,0
9478,1000,0.790033333333333,1000,15,15,1000,1000,4.2105263157894735,0,0
9816,1000,0.7837999999999987,1000,15,15,1000,1000,4.444444444444445,0,0
9868,1000,0.7854333333333327,1000,15,15,1000,1000,5.333333333333333,0,0
10530,1000,0.7785333333333319,1000,15,15,1000,1000,6.153846153846154,0,0
15112,1000,0.7413333333333331,1000,15,15,1000,1000,8.0,0,0
12832,1000,0.7507666666666669,1000,15,15,1000,1000,8.88888888888889,0,0
20608,1000,0.6956666666666679,1000,15,15,1000,1000,11.428571428571427,0,0
17608,1000,0.7164333333333335,1000,15,15,1000,1000,10.0,0,0
18594,1000,0.6997333333333341,1000,15,15,1000,1000,13.333333333333332,0,0
25034,1000,0.6547000000000013,1000,15,15,1000,1000,20.0,0,0
21934,1000,0.6721333333333344,1000,15,15,1000,1000,16.0,0,0
28132,1000,0.614466666666669,1000,15,15,1000,1000,26.666666666666664,0,0
29390,1000,0.5722333333333347,1000,15,15,1000,1000,40.0,0,0
29872,1000,0.5203666666666682,1000,15,15,1000,1000,80.0,0,0
30004,1000,0.07240000000000008,1000,15,15,1000,1000,400.0,0,0
