step,step2,score_mean,num,connect_x,connect_y,area_x,area_y,speed,time1,time2
5648,1000,0.6581000000000021,1000,5,5,1000,1000,10.0,0,0
5048,1000,0.6840000000000017,1000,5,5,1000,1000,4.2105263157894735,0,0
5354,1000,0.6773000000000017,1000,5,5,1000,1000,8.0,0,0
5008,1000,0.6970000000000007,1000,5,5,1000,1000,5.0,0,0
5048,1000,0.6947000000000015,1000,5,5,1000,1000,4.444444444444445,0,0
6570,1000,0.6235000000000016,1000,5,5,1000,1000,13.333333333333332,0,0
5930,1000,0.6463000000000019,1000,5,5,1000,1000,11.428571428571427,0,0
5166,1000,0.6800000000000015,1000,5,5,1000,1000,5.7142857142857135,0,0
5392,1000,0.6800000000000012,1000,5,5,1000,1000,6.666666666666666,0,0
5498,1000,0.6677000000000028,1000,5,5,1000,1000,7.272727272727273,0,0
5094,1000,0.682000000000001,1000,5,5,1000,1000,4.705882352941177,0,0
5212,1000,0.6809000000000018,1000,5,5,1000,1000,6.153846153846154,0,0
5492,1000,0.6641000000000018,1000,5,5,1000,1000,8.88888888888889,0,0
7524,1000,0.5722000000000012,1000,5,5,1000,1000,20.0,0,0
5160,1000,0.676100000000003,1000,5,5,1000,1000,5.333333333333333,0,0
6452,1000,0.6129000000000021,1000,5,5,1000,1000,16.0,0,0
9140,1000,0.44469999999999993,1000,5,5,1000,1000,40.0,0,0
8140,1000,0.5195000000000008,1000,5,5,1000,1000,26.666666666666664,0,0
9830,1000,0.17619999999999914,1000,5,5,1000,1000,80.0,0,0
9856,1000,0.032400000000000095,1000,5,5,1000,1000,400.0,0,0
