step,step2,score_mean,num,connect_x,connect_y,area_x,area_y,speed,time1,time2
12258,1000,0.7828250000000007,1000,20,20,1000,1000,4.2105263157894735,0,0
11824,1000,0.80115,1000,20,20,1000,1000,4.705882352941177,0,0
16030,1000,0.7644249999999997,1000,20,20,1000,1000,5.7142857142857135,0,0
12276,1000,0.7781750000000004,1000,20,20,1000,1000,8.0,0,0
13242,1000,0.7815000000000006,1000,20,20,1000,1000,6.153846153846154,0,0
12520,1000,0.7970749999999996,1000,20,20,1000,1000,5.0,0,0
11866,1000,0.797275,1000,20,20,1000,1000,5.333333333333333,0,0
11330,1000,0.7807999999999992,1000,20,20,1000,1000,4.444444444444445,0,0
21838,1000,0.7321250000000007,1000,20,20,1000,1000,8.88888888888889,0,0
13074,1000,0.7931249999999996,1000,20,20,1000,1000,6.666666666666666,0,0
14262,1000,0.7771249999999993,1000,20,20,1000,1000,7.272727272727273,0,0
28960,1000,0.6949000000000003,1000,20,20,1000,1000,10.0,0,0
23354,1000,0.7171999999999994,1000,20,20,1000,1000,11.428571428571427,0,0
35140,1000,0.6599249999999994,1000,20,20,1000,1000,16.0,0,0
24100,1000,0.700300000000001,1000,20,20,1000,1000,13.333333333333332,0,0
35072,1000,0.6507999999999996,1000,20,20,1000,1000,20.0,0,0
37532,1000,0.6270249999999996,1000,20,20,1000,1000,26.666666666666664,0,0
39724,1000,0.5773249999999993,1000,20,20,1000,1000,40.0,0,0
39924,1000,0.5415999999999997,1000,20,20,1000,1000,80.0,0,0
40004,1000,0.08345,1000,20,20,1000,1000,400.0,0,0
