step,step2,score_mean,num,connect_x,connect_y,area_x,area_y,speed,time1,time2
6614,1000,0.73625,1000,8,8,1000,1000,4.2105263157894735,0,0
7186,1000,0.7220625,1000,8,8,1000,1000,4.705882352941177,0,0
7032,1000,0.7353125,1000,8,8,1000,1000,5.333333333333333,0,0
7122,1000,0.7320625,1000,8,8,1000,1000,5.7142857142857135,0,0
7690,1000,0.7273125,1000,8,8,1000,1000,6.153846153846154,0,0
6646,1000,0.725625,1000,8,8,1000,1000,5.0,0,0
7658,1000,0.72225,1000,8,8,1000,1000,7.272727272727273,0,0
7858,1000,0.7255625,1000,8,8,1000,1000,6.666666666666666,0,0
7918,1000,0.7155,1000,8,8,1000,1000,8.0,0,0
6674,1000,0.736,1000,8,8,1000,1000,4.444444444444445,0,0
10524,1000,0.672,1000,8,8,1000,1000,13.333333333333332,0,0
9888,1000,0.6750625,1000,8,8,1000,1000,10.0,0,0
8306,1000,0.711875,1000,8,8,1000,1000,8.88888888888889,0,0
8076,1000,0.7115,1000,8,8,1000,1000,11.428571428571427,0,0
12206,1000,0.6306875,1000,8,8,1000,1000,20.0,0,0
10992,1000,0.669375,1000,8,8,1000,1000,16.0,0,0
13726,1000,0.59225,1000,8,8,1000,1000,26.666666666666664,0,0
14356,1000,0.5848125,1000,8,8,1000,1000,40.0,0,0
15910,1000,0.3034375,1000,8,8,1000,1000,80.0,0,0
15994,1000,0.0411875,1000,8,8,1000,1000,400.0,0,0
