step,step2,score_mean,num,connect_x,connect_y,area_x,area_y,speed,time1,time2
9980,1000,0.803625,1000,16,16,1000,1000,5.0,0,0
10110,1000,0.78959375,1000,16,16,1000,1000,4.705882352941177,0,0
8998,1000,0.78528125,1000,16,16,1000,1000,4.444444444444445,0,0
10692,1000,0.78115625,1000,16,16,1000,1000,5.333333333333333,0,0
13096,1000,0.76828125,1000,16,16,1000,1000,7.272727272727273,0,0
10164,1000,0.782875,1000,16,16,1000,1000,4.2105263157894735,0,0
12100,1000,0.7585,1000,16,16,1000,1000,8.88888888888889,0,0
11918,1000,0.773625,1000,16,16,1000,1000,6.153846153846154,0,0
11332,1000,0.7785625,1000,16,16,1000,1000,6.666666666666666,0,0
13748,1000,0.764625,1000,16,16,1000,1000,5.7142857142857135,0,0
13666,1000,0.753375,1000,16,16,1000,1000,8.0,0,0
24622,1000,0.68040625,1000,16,16,1000,1000,13.333333333333332,0,0
18900,1000,0.72090625,1000,16,16,1000,1000,10.0,0,0
16954,1000,0.725125,1000,16,16,1000,1000,11.428571428571427,0,0
28778,1000,0.641375,1000,16,16,1000,1000,20.0,0,0
28358,1000,0.65753125,1000,16,16,1000,1000,16.0,0,0
30344,1000,0.61675,1000,16,16,1000,1000,40.0,0,0
29830,1000,0.61925,1000,16,16,1000,1000,26.666666666666664,0,0
31922,1000,0.49975,1000,16,16,1000,1000,80.0,0,0
31998,1000,0.05809375,1000,16,16,1000,1000,400.0,0,0
